Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,67.533,67.829,65.724,66.22,2807600,0.0,0.0
2021-01-05,66.446,66.611,65.654,65.898,1570800,0.0,0.0
2021-01-06,65.733,66.977,65.611,66.446,2284400,0.0,0.0
2021-01-07,66.646,66.794,64.358,64.576,2153800,0.0,0.0
2021-01-08,64.628,65.35,64.454,65.237,1552700,0.0,0.0
2021-01-11,65.159,65.524,64.689,65.272,2480400,0.0,0.0
2021-01-12,65.124,65.42,63.845,64.576,1456500,0.0,0.0
2021-01-13,64.75,65.898,64.619,65.672,1879800,0.0,0.0
2021-01-14,65.837,65.837,63.523,64.358,1764500,0.0,0.0
2021-01-15,64.28,65.046,63.863,64.706,1240100,0.0,0.0
2021-01-19,64.785,64.785,63.297,63.489,2451700,0.0,0.0
2021-01-20,62.967,63.376,62.497,63.097,2273300,0.0,0.0
2021-01-21,62.906,63.245,62.297,62.401,2416600,0.0,0.0
2021-01-22,62.332,63.584,61.766,63.393,2680500,0.0,0.0
2021-01-25,62.906,65.367,62.732,65.307,2551600,0.0,0.0
2021-01-26,65.106,65.828,64.071,65.42,1224100,0.0,0.0
2021-01-27,64.689,66.463,64.411,65.315,1505600,0.0,0.0
2021-01-28,65.341,66.255,64.289,64.289,1650000,0.0,0.0
2021-01-29,63.897,64.237,63.045,63.254,1744200,0.0,0.0
2021-02-01,63.454,64.106,63.01,63.358,1365200,0.0,0.0
2021-02-02,63.358,64.828,62.801,63.297,908500,0.0,0.0
2021-02-03,63.297,63.723,62.967,63.271,748400,0.0,0.0
2021-02-04,63.175,64.68,62.854,64.306,1453400,0.0,0.0
2021-02-05,64.55,65.115,64.237,64.541,1243500,0.0,0.0
2021-02-08,64.619,64.759,62.854,63.141,1637200,0.0,0.0
2021-02-09,63.663,63.932,62.932,63.723,777300,0.0,0.0
2021-02-10,64.141,64.585,63.645,63.88,1720000,0.0,0.0
2021-02-11,63.958,64.202,62.828,63.115,1492400,0.0,0.0
2021-02-12,62.915,63.854,62.549,63.741,1247300,0.0,0.0
2021-02-16,63.68,64.054,62.471,63.202,1660400,0.0,0.0
2021-02-17,63.48,64.019,62.88,63.758,1487200,0.0,0.0
2021-02-18,63.706,64.906,63.497,64.445,1436900,0.0,0.0
