Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,69.916,70.819,67.321,67.551,929200,0.0,0.0
2021-01-05,68.077,69.202,67.691,67.83,699100,0.0,0.0
2021-01-06,68.561,70.951,68.381,70.63,1087600,0.0,0.0
2021-01-07,70.606,70.639,68.849,69.506,538400,0.0,0.0
2021-01-08,69.809,70.039,68.931,69.407,381300,0.0,0.0
2021-01-11,68.808,69.177,67.206,67.806,481700,0.0,0.0
2021-01-12,67.674,69.719,67.362,69.629,650800,0.0,0.0
2021-01-13,69.67,71.361,69.432,70.852,862700,0.0,0.0
2021-01-14,71.468,72.092,70.926,71.254,577700,0.0,0.0
2021-01-15,71.049,71.911,69.588,71.657,739900,0.0,0.0
2021-01-19,71.854,71.878,69.85,71.599,684900,0.0,0.0
2021-01-20,72.108,73.422,70.926,72.461,795400,0.0,0.0
2021-01-21,72.067,72.273,70.113,71.402,476400,0.0,0.0
2021-01-22,70.729,72.995,70.236,72.691,818300,0.0,0.0
2021-01-25,71.887,74.695,70.713,73.044,837500,0.0,0.0
2021-01-26,73.57,73.8,71.681,72.897,930400,0.0,0.0
2021-01-27,72.24,73.808,71.878,72.503,793900,0.0,0.0
2021-01-28,72.864,74.596,71.805,71.911,980400,0.0,0.0
2021-01-29,71.435,73.562,70.54,71.895,2720400,0.0,0.0
2021-02-01,72.437,72.659,69.284,71.468,722800,0.0,0.0
2021-02-02,71.788,72.018,70.474,71.624,568600,0.0,0.0
2021-02-03,71.082,72.404,70.458,72.158,450600,0.0,0.0
2021-02-04,72.478,74.859,72.141,74.186,624500,0.0,0.0
2021-02-05,74.892,75.261,74.161,74.933,417900,0.0,0.0
2021-02-08,74.933,75.089,74.03,75.007,516100,0.0,0.0
2021-02-09,75.475,76.436,75.089,76.378,573200,0.0,0.0
2021-02-10,78.833,79.991,77.577,78.636,1271300,0.0,0.0
2021-02-11,78.168,80.533,77.437,80.459,1238600,0.0,0.0
2021-02-12,80.18,84.022,79.671,84.022,1267000,0.0,0.0
2021-02-16,84.047,84.786,82.274,83.341,1418300,0.0,0.0
2021-02-17,83.374,83.981,82.208,83.932,1013000,0.0,0.0
2021-02-18,83.456,84.096,82.274,82.774,870100,0.0,0.0
2021-02-19,82.7,83.53,81.855,81.871,686300,0.0,0.0
2021-02-22,81.764,85.041,81.461,82.602,1010800,0.0,0.0
2021-02-23,83.472,85.172,83.349,84.811,976700,0.0,0.0
2021-02-24,84.852,87.241,84.49,87.052,1002900,0.0,0.0
2021-02-25,87.192,87.775,83.776,84.573,802200,0.0,0.0
2021-02-26,84.4,85.106,82.495,83.07,896800,0.0,0.0
2021-03-01,84.729,86.683,84.039,85.394,1009500,0.0,0.0
2021-03-02,85.443,85.796,82.971,83.382,844900,0.0,0.0
2021-03-03,83.825,86.888,83.669,86.576,756900,0.0,0.0
2021-03-04,86.781,87.611,84.022,85.131,917900,0.0,0.0
2021-03-05,86.075,87.036,83.76,86.839,623000,0.0,0.0
2021-03-08,87.734,90.427,86.65,89.663,747600,0.0,0.0
2021-03-09,89.146,89.458,87.134,87.159,561600,0.0,0.0
2021-03-10,87.258,89.302,86.855,88.284,491900,0.0,0.0
2021-03-11,88.185,89.951,87.619,89.228,574400,0.0,0.0
2021-03-12,89.54,90.821,89.023,90.624,632500,0.0,0.0
2021-03-15,90.682,91.743,89.289,90.864,520100,1.06,0.0
2021-03-16,90.558,90.558,87.755,88.236,567000,0.0,0.0
2021-03-17,87.921,88.676,86.106,86.819,1116400,0.0,0.0
2021-03-18,86.835,87.697,84.887,85.384,659200,0.0,0.0
2021-03-19,85.351,85.699,83.619,83.685,1362300,0.0,0.0
2021-03-22,83.809,83.809,82.408,83.453,657700,0.0,0.0
2021-03-23,83.022,83.428,81.14,81.786,591000,0.0,0.0
2021-03-24,82.052,84.779,81.936,83.179,702000,0.0,0.0
2021-03-25,82.649,85.277,81.944,85.053,709800,0.0,0.0
2021-03-26,85.741,87.092,84.995,86.495,533200,0.0,0.0
2021-03-29,86.106,86.197,83.552,85.003,484600,0.0,0.0
2021-03-30,85.235,86.23,84.481,85.633,477000,0.0,0.0
2021-03-31,85.144,85.434,83.577,84.108,819400,0.0,0.0
2021-04-01,84.713,86.28,84.108,86.18,648700,0.0,0.0
2021-04-05,86.587,86.91,84.92,86.097,720600,0.0,0.0
2021-04-06,85.981,87.275,85.492,87.125,796100,0.0,0.0
