Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,237.03,237.413,232.619,235.168,5002000,0.0,0.0
2021-01-05,234.045,237.493,233.689,237.066,3822600,0.0,0.0
2021-01-06,235.293,240.381,233.341,238.42,3949200,0.0,0.0
2021-01-07,237.868,239.498,237.173,237.253,3833200,0.0,0.0
2021-01-08,238.224,241.236,237.912,239.775,3757700,0.0,0.0
2021-01-11,238.331,243.588,238.144,241.681,3764400,0.0,0.0
2021-01-12,241.575,247.66,241.165,246.226,4030900,0.0,0.0
2021-01-13,247.99,249.924,244.096,244.194,3921400,0.0,0.0
2021-01-14,244.595,244.952,238.509,239.106,4641400,0.0,0.0
2021-01-15,239.365,246.279,238.803,245.566,5131700,0.0,0.0
2021-01-19,247.714,247.714,243.276,243.428,3615800,0.0,0.0
2021-01-20,243.481,247.01,241.922,244.417,3498400,0.0,0.0
2021-01-21,246.128,250.12,245.638,248.649,4397900,0.0,0.0
2021-01-22,248.837,254.023,247.598,253.06,4501900,0.0,0.0
2021-01-25,252.927,254.637,250.761,254.023,4025900,0.0,0.0
2021-01-26,254.326,254.53,251.011,251.813,2472200,0.0,0.0
2021-01-27,249.487,250.218,243.33,244.194,4337000,0.0,0.0
2021-01-28,246.083,252.134,244.978,247.758,3463000,0.0,0.0
2021-01-29,245.762,246.876,240.612,241.316,4079500,0.0,0.0
2021-02-01,241.681,242.947,238.135,240.648,3707800,0.0,0.0
2021-02-02,240.585,245.656,240.577,242.51,4111800,0.0,0.0
2021-02-03,242.27,245.682,241.218,244.301,2802700,0.0,0.0
2021-02-04,244.372,248.997,244.372,248.445,2976000,0.0,0.0
2021-02-05,249.754,251.064,247.545,248.48,2389900,0.0,0.0
2021-02-08,249.22,249.87,246.725,249.523,3475600,0.0,0.0
2021-02-09,249.193,249.674,246.484,246.618,2507800,0.0,0.0
2021-02-10,247.741,248.543,246.155,248.329,2410600,0.0,0.0
2021-02-11,247.651,249.719,245.941,246.876,2595300,0.0,0.0
2021-02-12,246.93,248.347,246.449,247.277,2392200,0.0,0.0
2021-02-16,246.832,248.275,244.934,245.388,2873500,0.0,0.0
2021-02-17,245.522,251.091,245.397,250.316,3536400,0.0,0.0
2021-02-18,250.209,253.666,249.344,252.214,3532000,0.0,0.0
2021-02-19,252.053,252.98,248.997,249.175,4079900,0.0,0.0
2021-02-22,247.901,248.151,243.82,245.798,3995500,0.0,0.0
2021-02-23,240.033,240.291,229.519,238.126,12111000,0.0,0.0
2021-02-24,234.553,237.903,226.355,231.648,14512700,0.0,0.0
2021-02-25,231.452,232.477,226.961,227.442,6545400,0.0,0.0
2021-02-26,229.688,231.889,228.209,230.196,7871200,0.0,0.0
2021-03-01,230.614,233.885,230.312,233.118,4528900,0.0,0.0
2021-03-02,233.172,234.446,231.47,231.933,3740300,0.0,0.0
2021-03-03,231.033,232.12,228.12,229.322,4257500,0.0,0.0
2021-03-04,228.111,228.877,220.18,223.593,7154900,0.0,0.0
2021-03-05,224.778,226.507,219.726,225.901,6351800,0.0,0.0
2021-03-08,226.533,234.553,225.01,230.811,5037400,0.0,0.0
2021-03-09,234.107,238.42,233.27,236.094,6625300,0.0,0.0
2021-03-10,238.435,240.972,236.785,238.722,3798400,1.65,0.0
2021-03-11,240.838,242.792,239.582,241.062,4371300,0.0,0.0
2021-03-12,239.807,245.509,239.188,244.873,4190500,0.0,0.0
2021-03-15,246.128,250.746,245.984,249.75,4355200,0.0,0.0
2021-03-16,249.75,253.319,248.952,252.924,4458900,0.0,0.0
2021-03-17,252.082,254.538,250.387,251.086,5908400,0.0,0.0
2021-03-18,250.19,255.964,249.051,253.893,4808100,0.0,0.0
2021-03-19,254.323,259.219,253.238,259.219,13729200,0.0,0.0
2021-03-22,256.888,260.322,254.825,259.075,5564700,0.0,0.0
2021-03-23,259.676,263.101,259.075,260.008,4801200,0.0,0.0
2021-03-24,259.362,266.105,259.12,262.492,4842000,0.0,0.0
2021-03-25,262.743,267.091,262.232,266.464,5373500,0.0,0.0
2021-03-26,266.607,272.579,265.433,272.408,5865900,0.0,0.0
2021-03-29,271.951,273.969,268.93,270.965,4642900,0.0,0.0
2021-03-30,270.472,274.085,269.028,273.314,5045400,0.0,0.0
2021-03-31,273.924,276.183,272.704,273.7,4744100,0.0,0.0
2021-04-01,275.161,276.659,272.48,275.941,3923900,0.0,0.0
2021-04-05,277.815,283.204,277.726,282.801,4697200,0.0,0.0
2021-04-06,281.196,283.285,280.765,281.348,3988600,0.0,0.0
2021-04-07,280.505,282.567,278.793,280.173,3799300,0.0,0.0
2021-04-08,280.38,282.666,278.488,281.931,4035600,0.0,0.0
2021-04-09,282.774,286.315,282.218,286.235,4607800,0.0,0.0
2021-04-12,284.881,288.1,284.513,287.633,3556800,0.0,0.0
2021-04-13,287.4,287.732,284.235,287.284,3635100,0.0,0.0
2021-04-14,286.665,289.346,286.289,286.943,3440600,0.0,0.0
2021-04-15,287.113,289.974,286.97,289.382,3508200,0.0,0.0
2021-04-16,291.265,294.699,290.458,294.17,6213100,0.0,0.0
2021-04-19,292.744,294.842,291.803,293.067,4494300,0.0,0.0
2021-04-20,292.305,293.82,288.862,290.476,4462900,0.0,0.0
2021-04-21,291.372,294.018,290.413,292.26,3740100,0.0,0.0
2021-04-22,292.484,292.69,285.885,288.234,4875000,0.0,0.0
2021-04-23,288.889,291.884,286.548,290.413,3405700,0.0,0.0
2021-04-26,290.225,290.512,286.315,286.916,2848500,0.0,0.0
2021-04-27,287.373,289.14,287.266,287.454,3335800,0.0,0.0
2021-04-28,288.674,289.579,286.297,286.665,2713400,0.0,0.0
2021-04-29,288.458,292.117,287.893,291.713,3261900,0.0,0.0
2021-04-30,291.453,292.153,288.369,290.216,3118700,0.0,0.0
2021-05-03,292.556,297.344,292.018,296.134,3683700,0.0,0.0
2021-05-04,295.102,298.788,294.887,298.375,3954400,0.0,0.0
2021-05-05,299.702,299.702,296.932,297.73,3227200,0.0,0.0
2021-05-06,299.182,302.894,298.788,302.688,3539600,0.0,0.0
2021-05-07,301.881,304.688,300.85,304.185,2998100,0.0,0.0
2021-05-10,305.261,309.96,304.445,305.862,4840600,0.0,0.0
2021-05-11,302.661,303.065,294.286,296.483,5500900,0.0,0.0
2021-05-12,292.771,294.815,283.581,284.235,5822000,0.0,0.0
2021-05-13,286.029,293.578,285.751,291.785,5159800,0.0,0.0
2021-05-14,292.565,293.489,288.593,290.18,3998000,0.0,0.0
2021-05-17,287.822,289.463,282.72,286.934,4388000,0.0,0.0
2021-05-18,286.925,291.014,282.245,284.011,7010300,0.0,0.0
2021-05-19,279.752,282.218,277.125,281.949,5242100,0.0,0.0
2021-05-20,282.343,286.665,282.343,283.249,3854700,0.0,0.0
2021-05-21,284.235,286.279,281.949,283.132,3920600,0.0,0.0
2021-05-24,284.092,285.795,282.074,282.298,2930600,0.0,0.0
2021-05-25,282.917,284.325,281.769,284.011,3523300,0.0,0.0
2021-05-26,284.961,288.162,283.948,284.531,2881600,0.0,0.0
2021-05-27,284.504,287.293,284.504,285.822,3734800,0.0,0.0
2021-05-28,287.257,288.279,285.894,285.948,3194000,0.0,0.0
2021-06-01,287.517,288.055,282.594,283.616,3549800,0.0,0.0
2021-06-02,284.356,285.708,281.589,282.328,3380100,1.65,0.0
2021-06-03,280.318,282.057,279.137,280.705,2652500,0.0,0.0
2021-06-04,281.318,282.526,278.83,280.327,2638700,0.0,0.0
2021-06-07,280.426,281.516,277.505,279.38,3974800,0.0,0.0
2021-06-08,280.561,281.48,278.497,280.227,2913500,0.0,0.0
