Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,326.123,326.707,315.85,324.313,4203800,0.0,0.0
2021-01-05,323.562,326.039,319.655,319.952,3160500,0.0,0.0
2021-01-06,312.816,333.583,310.96,333.379,6561400,0.0,0.0
2021-01-07,332.702,340.042,332.126,338.724,3366700,0.0,0.0
2021-01-08,340.552,341.007,332.906,337.202,2947800,0.0,0.0
2021-01-11,336.488,338.037,333.305,334.753,2695100,0.0,0.0
2021-01-12,332.145,334.131,329.63,331.616,2372500,0.0,0.0
2021-01-13,330.382,331.096,325.919,329.454,1974500,0.0,0.0
2021-01-14,331.134,332.952,325.167,325.269,2919900,0.0,0.0
2021-01-15,323.961,327.607,320.824,325.984,3777000,0.0,0.0
2021-01-19,330.54,331.236,326.225,326.809,3361300,0.0,0.0
2021-01-20,326.522,326.707,320.908,325.557,3036800,0.0,0.0
2021-01-21,325.529,334.882,325.464,329.417,3749800,0.0,0.0
2021-01-22,327.849,329.064,322.495,322.504,2585100,0.0,0.0
2021-01-25,322.133,325.139,319.766,322.745,2506300,0.0,0.0
2021-01-26,325.25,326.178,317.883,318.384,2467500,0.0,0.0
2021-01-27,312.751,313.642,305.3,308.993,4770900,0.0,0.0
2021-01-28,312.38,321.604,310.404,313.781,2769900,0.0,0.0
2021-01-29,312.278,314.588,306.803,309.541,3899200,0.0,0.0
2021-02-01,310.886,313.781,308.761,309.93,3020200,0.0,0.0
2021-02-02,312.807,319.804,312.807,314.31,2663700,0.0,0.0
2021-02-03,313.642,315.646,310.487,313.54,2537100,0.0,0.0
2021-02-04,308.371,311.127,304.725,305.588,5962200,0.0,0.0
2021-02-05,308.176,309.448,300.168,301.124,7227900,0.0,0.0
2021-02-08,303.444,303.453,300.475,300.966,4758200,0.0,0.0
2021-02-09,300.558,307.184,298.526,305.875,4096900,0.0,0.0
2021-02-10,308.687,311.563,306.005,309.373,4122700,0.0,0.0
2021-02-11,310.858,312.389,307.61,309.067,2776700,0.0,0.0
2021-02-12,307.777,308.446,304.251,304.585,2760800,0.0,0.0
2021-02-16,303.769,306.07,299.24,301.226,4339000,0.0,0.0
2021-02-17,300.15,304.919,299.018,303.305,2620000,0.0,0.0
2021-02-18,302.414,305.829,301.764,304.743,2383500,0.0,0.0
2021-02-19,305.059,305.151,300.753,301.189,2313800,0.0,0.0
2021-02-22,298.331,305.337,297.264,304.029,2688300,0.0,0.0
2021-02-23,306.209,309.875,303.101,305.764,3225700,0.0,0.0
2021-02-24,304.817,309.559,302.544,308.269,3360500,0.0,0.0
2021-02-25,307.146,309.559,303.769,305.17,2780100,0.0,0.0
2021-02-26,306.729,313.559,306.079,308.279,5430000,0.0,0.0
2021-03-01,310.264,314.486,309.633,310.533,4198900,0.0,0.0
2021-03-02,310.858,313.336,309.828,310.524,2568900,0.0,0.0
2021-03-03,309.299,313.791,308.798,308.882,3039700,0.0,0.0
2021-03-04,310.088,316.277,308.696,309.754,4991600,0.0,0.0
2021-03-05,310.886,323.19,310.877,322.086,4563100,0.0,0.0
2021-03-08,322.003,328.489,320.694,324.935,3419900,0.0,0.0
2021-03-09,327.487,335.216,326.021,326.615,4277600,0.0,0.0
2021-03-10,328.405,328.934,323.385,324.406,3012300,0.0,0.0
2021-03-11,325.482,330.317,324.657,327.654,2520500,0.0,0.0
2021-03-12,328.883,332.282,327.784,331.537,2088700,1.25,0.0
2021-03-15,332.375,333.325,327.374,329.544,2343400,0.0,0.0
2021-03-16,329.218,330.922,327.71,330.215,2904200,0.0,0.0
2021-03-17,330.745,333.446,327.635,327.961,2633100,0.0,0.0
2021-03-18,328.604,339.266,328.11,337.152,3311600,0.0,0.0
2021-03-19,337.031,344.984,334.321,340.44,8572900,0.0,0.0
2021-03-22,339.899,343.233,335.346,341.632,3505200,0.0,0.0
2021-03-23,343.485,345.99,341.967,343.159,3100100,0.0,0.0
2021-03-24,340.877,348.094,340.374,345.114,3407800,0.0,0.0
2021-03-25,345.114,346.521,338.4,345.571,3021500,0.0,0.0
2021-03-26,346.12,351.13,344.826,350.59,2959800,0.0,0.0
